[16:02:11] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.16.4
[16:02:11] [main/INFO]: Fabric is preparing JARs on first launch, this may take a few seconds...
[16:02:11] [main/INFO]: Loading 4 mods:
	- fabricloader 0.16.4
	   \-- mixinextras 0.4.1
	- java 17
	- minecraft 1.20.1
[16:02:11] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/minecraft/data/libraries/net/fabricmc/sponge-mixin/0.15.3+mixin.0.8.7/sponge-mixin-0.15.3+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[16:02:18] [main/ERROR]: Failed to load properties from file: server.properties
java.nio.file.NoSuchFileException: server.properties
	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:92) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:106) ~[?:?]
	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:111) ~[?:?]
	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:219) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:375) ~[?:?]
	at java.nio.file.Files.newByteChannel(Files.java:426) ~[?:?]
	at java.nio.file.spi.FileSystemProvider.newInputStream(FileSystemProvider.java:420) ~[?:?]
	at java.nio.file.Files.newInputStream(Files.java:160) ~[?:?]
	at net.minecraft.class_3808.method_16727(class_3808.java:62) ~[server-intermediary.jar:?]
	at net.minecraft.class_3806.method_16714(class_3806.java:137) ~[server-intermediary.jar:?]
	at net.minecraft.class_3807.<init>(class_3807.java:12) ~[server-intermediary.jar:?]
	at net.minecraft.server.Main.main(Main.java:115) ~[server-intermediary.jar:?]
	at net.fabricmc.loader.impl.game.minecraft.MinecraftGameProvider.launch(MinecraftGameProvider.java:480) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.loader.impl.launch.knot.Knot.launch(Knot.java:74) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.loader.impl.launch.knot.KnotServer.main(KnotServer.java:23) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.loader.impl.launch.server.FabricServerLauncher.main(FabricServerLauncher.java:69) ~[fabric-loader-0.16.4.jar:?]
	at net.fabricmc.installer.ServerLauncher.main(ServerLauncher.java:69) ~[minecraft_server.jar:1.0.1]
[16:02:18] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[16:02:20] [main/INFO]: Loaded 7 recipes
[16:02:20] [main/INFO]: Loaded 1271 advancements
[16:02:21] [Server thread/INFO]: Starting minecraft server version 1.20.1
[16:02:21] [Server thread/INFO]: Loading properties
[16:02:21] [Server thread/INFO]: Default game type: SURVIVAL
[16:02:21] [Server thread/INFO]: Generating keypair
[16:02:21] [Server thread/INFO]: Starting Minecraft server on *:25565
[16:02:21] [Server thread/INFO]: Using epoll channel type
[16:02:21] [Server thread/INFO]: Preparing level "world"
[16:02:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:02:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:21] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[16:03:32] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[16:03:33] [Worker-Main-1/INFO]: Preparing spawn area: 72%
[16:03:37] [Server thread/INFO]: Time elapsed: 62636 ms
[16:03:37] [Server thread/INFO]: Done (75.795s)! For help, type "help"
[16:03:38] [User Authenticator #1/INFO]: UUID of player MR_sticky_piston is 1df745e7-4c67-415a-8bce-7c55dadf5722
[16:03:39] [Server thread/INFO]: MR_sticky_piston[/127.2.245.186:34667] logged in with entity id 123 at (-11.5, 65.0, -46.5)
[16:03:39] [Server thread/INFO]: MR_sticky_piston joined the game
[16:03:40] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2764ms or 55 ticks behind
[16:04:08] [Server thread/INFO]: [MR_sticky_piston: Stopping the server]
[16:04:08] [Server thread/INFO]: Stopping server
[16:04:08] [Server thread/INFO]: Saving players
[16:04:08] [Server thread/INFO]: Saving worlds
[16:04:10] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:overworld
[16:04:16] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_nether
[16:04:16] [Server thread/INFO]: Saving chunks for level 'ServerLevel[world]'/minecraft:the_end
[16:04:16] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[16:04:16] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[16:04:16] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[16:04:16] [Server thread/INFO]: ThreadedAnvilChunkStorage: All dimensions are saved
